hierid,sign_match,diff_magnitude,Category
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
THA.28.R861a020fcedc486a,True,2.933825015579393e-07,Best (Match + Low Diff)
AGO.6.37,True,3.899145091916127e-07,Best (Match + Low Diff)
IND.7.117.360,True,4.941749507626569e-07,Best (Match + Low Diff)
BGD.5.21.57.R113efbed4a5c7258,True,6.271794066781047e-07,Best (Match + Low Diff)
IND.33.502.2038,True,1.329564230406592e-06,Best (Match + Low Diff)
IND.7.112.340,True,1.4678838032183318e-06,Best (Match + Low Diff)
THA.7.R94b6d0a77e4db274,True,2.412512695367094e-06,Best (Match + Low Diff)
COL.21.767,True,2.6972714039197017e-06,Best (Match + Low Diff)
SAU.13,True,0.008816413586948624,Worst (Mismatch or High Diff)
SAU.1,True,0.008636476667288173,Worst (Mismatch or High Diff)
AUS.4.174,True,0.008481835891805067,Worst (Mismatch or High Diff)
SAU.2,True,0.00840143806225191,Worst (Mismatch or High Diff)
AUS.11.1376,True,0.008294818395137682,Worst (Mismatch or High Diff)
USA.44.2597,True,0.008292536919435545,Worst (Mismatch or High Diff)
ISR.5,True,0.008266305838516397,Worst (Mismatch or High Diff)
AUS.4.220,True,0.008247800650975412,Worst (Mismatch or High Diff)
CHL.12.45.258,True,0.008051926527662623,Worst (Mismatch or High Diff)
AUS.4.127,True,0.008027504243411032,Worst (Mismatch or High Diff)
