hierid,sign_match,diff_magnitude,Category
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
COL.23.814,True,1.933795448920799e-07,Best (Match + Low Diff)
NGA.3.R3e3863b393e90492,True,2.8951298216356653e-07,Best (Match + Low Diff)
PNG.2.7,True,4.3513331102354804e-07,Best (Match + Low Diff)
MDG.3.7.32,True,4.638616791549481e-07,Best (Match + Low Diff)
COL.7.338,True,6.45476491583269e-07,Best (Match + Low Diff)
CHN.7.68.396,True,6.80766099718413e-07,Best (Match + Low Diff)
IND.2.12.84,True,7.332407583523766e-07,Best (Match + Low Diff)
COL.10.R1e06e7ea513cca99,True,8.074160918374116e-07,Best (Match + Low Diff)
AUS.11.1376,True,0.004062772883013266,Worst (Mismatch or High Diff)
AUS.5.386,True,0.0038056967584496615,Worst (Mismatch or High Diff)
AUS.11.1276,True,0.003776515459685381,Worst (Mismatch or High Diff)
AUS.6.579,True,0.003725389885437358,Worst (Mismatch or High Diff)
SAU.13,True,0.003659884531904689,Worst (Mismatch or High Diff)
SAU.1,True,0.0036451374138883885,Worst (Mismatch or High Diff)
AUS.4.174,True,0.003521510887066648,Worst (Mismatch or High Diff)
ISR.5,True,0.003519246654154262,Worst (Mismatch or High Diff)
AUS.11.1302,True,0.003477837675641915,Worst (Mismatch or High Diff)
ISR.2,True,0.003477156147302818,Worst (Mismatch or High Diff)
