hierid,flexraw,Category
SAU.13,-1.8388104599759876,Bottom 10
SAU.1,-1.7847939903264618,Bottom 10
SAU.2,-1.722468016589574,Bottom 10
CHL.12.45.258,-1.677080304003645,Bottom 10
AUS.4.174,-1.6689842878430305,Bottom 10
ISR.5,-1.666987886421676,Bottom 10
AUS.11.1376,-1.6640984289646206,Bottom 10
USA.44.2597,-1.6557336513761893,Bottom 10
ISR.2,-1.6320865114872134,Bottom 10
AUS.4.220,-1.6320001704153286,Bottom 10
ETH.3.15.68,0.33475907601328586,Top 10
MMR.4.13.70,0.33743987043961565,Top 10
ETH.10.59.R28c8293b0aa0dcaf,0.34037602365321734,Top 10
ETH.8.38.Rabbc941d33500379,0.3461102103118151,Top 10
NPL.2.6.34,0.34936365982954626,Top 10
ETH.8.41.Rbe6b87e5e060cd3a,0.3576436066172515,Top 10
ETH.3.23.R63c14932f1110d07,0.3611862274254475,Top 10
ETH.8.36.R10b41422cd38bafc,0.3754415525963756,Top 10
ETH.8.38.R643231eaea6a94e7,0.39303919174232943,Top 10
KIR,0.8189399762676972,Top 10
