hierid,flexraw,Category
AUS.11.1376,-0.8181332934252014,Bottom 10
SAU.13,-0.8157129016853212,Bottom 10
SAU.1,-0.804466927603272,Bottom 10
ISR.5,-0.7793343995467193,Bottom 10
ISR.2,-0.7781708181408079,Bottom 10
AUS.5.386,-0.7663557796802838,Bottom 10
AUS.11.1276,-0.7604794303275446,Bottom 10
SAU.7,-0.7561443501895498,Bottom 10
AUS.6.579,-0.7501843293027866,Bottom 10
SAU.2,-0.7274712535284462,Bottom 10
ETH.8.38.R643231eaea6a94e7,0.2634942703878338,Top 10
NPL.1.1.8,0.2825308347290834,Top 10
NPL.1.2.10,0.2838691240061154,Top 10
PHL.12.186,0.2920455481430663,Top 10
ETH.8.41.Rbe6b87e5e060cd3a,0.3050166600824216,Top 10
NRU.R48a30b843dc4b8e2,0.312821407703957,Top 10
PHL.48,0.36315209173734603,Top 10
PHL.41,0.3734988790783528,Top 10
PHL.Rfb548f506b985526,0.3950761382399087,Top 10
KIR,0.3975514372929716,Top 10
