hierid,rawtotal,Category
AUS.11.1376,-0.8221800904329871,Bottom 10
SAU.13,-0.8194562107381917,Bottom 10
SAU.1,-0.8081943430266877,Bottom 10
ISR.5,-0.7829411933647625,Bottom 10
ISR.2,-0.781735340020455,Bottom 10
AUS.5.386,-0.7701465116339177,Bottom 10
AUS.11.1276,-0.7642411868341037,Bottom 10
SAU.7,-0.7596253063372512,Bottom 10
AUS.6.579,-0.7538950701670231,Bottom 10
SAU.2,-0.7308699270089245,Bottom 10
ETH.8.38.R643231eaea6a94e7,0.2645193821338816,Top 10
NPL.1.1.8,0.28368865574807955,Top 10
NPL.1.2.10,0.2850322587916276,Top 10
PHL.12.186,0.29328806871741114,Top 10
ETH.8.41.Rbe6b87e5e060cd3a,0.3062033126822316,Top 10
NRU.R48a30b843dc4b8e2,0.31423406615525357,Top 10
PHL.48,0.3646979459319277,Top 10
PHL.41,0.3750888894069875,Top 10
PHL.Rfb548f506b985526,0.3967594531519511,Top 10
KIR,0.3993467249040052,Top 10
