hierid,sign_match,diff_magnitude,Category
CCK,True,0.0,Best (Match + Low Diff)
PCN,True,0.0,Best (Match + Low Diff)
MHL,True,0.0,Best (Match + Low Diff)
AIA,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
BLM,True,0.0,Best (Match + Low Diff)
TKL.R509f9c8f36fd8571,True,0.0,Best (Match + Low Diff)
VAT,True,0.0,Best (Match + Low Diff)
MCO,True,0.0,Best (Match + Low Diff)
MDV,True,0.0,Best (Match + Low Diff)
DZA.1.16,True,0.8485917553053424,Worst (Mismatch or High Diff)
DZA.41.1260,True,0.8469794989911257,Worst (Mismatch or High Diff)
DZA.41.1258,True,0.8447537102212583,Worst (Mismatch or High Diff)
DZA.1.1,True,0.8437176920990135,Worst (Mismatch or High Diff)
DZA.41.1261,True,0.8396958480311028,Worst (Mismatch or High Diff)
DZA.41.1255,True,0.8389474155679426,Worst (Mismatch or High Diff)
DZA.1.R0407246e18910365,True,0.8351059922173372,Worst (Mismatch or High Diff)
DZA.41.1256,True,0.8326547509054985,Worst (Mismatch or High Diff)
DZA.44.1336,True,0.8231316457093392,Worst (Mismatch or High Diff)
DZA.22.637,True,0.8199544978485911,Worst (Mismatch or High Diff)
