hierid,sign_match,diff_magnitude,Category
AIA,True,0.0,Best (Match + Low Diff)
NRU.R48a30b843dc4b8e2,True,0.0,Best (Match + Low Diff)
GIB,True,0.0,Best (Match + Low Diff)
PCN,True,0.0,Best (Match + Low Diff)
MHL,True,0.0,Best (Match + Low Diff)
BLM,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
CCK,True,0.0,Best (Match + Low Diff)
MCO,True,0.0,Best (Match + Low Diff)
CXR,True,0.0,Best (Match + Low Diff)
DZA.1.16,True,0.8042211819556149,Worst (Mismatch or High Diff)
DZA.41.1260,True,0.8026933371094105,Worst (Mismatch or High Diff)
DZA.41.1258,True,0.800584655193284,Worst (Mismatch or High Diff)
DZA.1.1,True,0.7997016238837773,Worst (Mismatch or High Diff)
DZA.41.1261,True,0.7957927555654043,Worst (Mismatch or High Diff)
DZA.41.1255,True,0.7950811187222617,Worst (Mismatch or High Diff)
DZA.1.R0407246e18910365,True,0.7914444293846676,Worst (Mismatch or High Diff)
DZA.41.1256,True,0.7891175357204951,Worst (Mismatch or High Diff)
DZA.44.1336,True,0.7800936197786135,Worst (Mismatch or High Diff)
DZA.22.637,True,0.7770958878309562,Worst (Mismatch or High Diff)
