hierid,flexraw,Category
DZA.1.16,-1.1916791387897039,Bottom 10
DZA.41.1258,-1.184346023624454,Bottom 10
DZA.1.1,-1.1685343250706184,Bottom 10
DZA.41.1260,-1.1636172798454225,Bottom 10
DZA.41.1255,-1.1584960108477262,Bottom 10
DZA.41.1261,-1.1575014489690068,Bottom 10
DZA.1.R0407246e18910365,-1.1430034046369204,Bottom 10
DZA.41.1256,-1.1398155324063455,Bottom 10
DZA.22.637,-1.1133561462793429,Bottom 10
DZA.41.1263,-1.1052449092170282,Bottom 10
IND.20.273.1039,0.4327185675716877,Top 10
IND.20.271.1034,0.4329617262001387,Top 10
IND.20.261.1003,0.43731059789491566,Top 10
IND.12.126.403,0.43865427265913465,Top 10
IND.20.305.1155,0.44210376655454686,Top 10
IND.12.126.402,0.4441471753333646,Top 10
IND.20.267.1020,0.4442041685944174,Top 10
IND.20.271.1035,0.44543760616243855,Top 10
IND.20.305.1153,0.4461876543186355,Top 10
IND.20.305.1157,0.4602650191187584,Top 10
