hierid,flexraw,Category
DZA.1.16,-1.1530644205998815,Bottom 10
DZA.41.1258,-1.145968862194512,Bottom 10
DZA.1.1,-1.1306696922103683,Bottom 10
DZA.41.1260,-1.1259119368565085,Bottom 10
DZA.41.1255,-1.1209566363602639,Bottom 10
DZA.41.1261,-1.119994369409032,Bottom 10
DZA.1.R0407246e18910365,-1.105966067428776,Bottom 10
DZA.41.1256,-1.1028815276635673,Bottom 10
DZA.22.637,-1.0772794169828284,Bottom 10
DZA.41.1263,-1.0694310500041455,Bottom 10
IND.20.273.1039,0.42078622156834367,Top 10
IND.20.271.1034,0.42102265261505967,Top 10
IND.20.261.1003,0.4252516323372286,Top 10
IND.12.126.403,0.42655828065558843,Top 10
IND.20.305.1155,0.429912615983836,Top 10
IND.12.126.402,0.43189971609945743,Top 10
IND.20.267.1020,0.4319550883221063,Top 10
IND.20.271.1035,0.43315449307670023,Top 10
IND.20.305.1153,0.4338838904089722,Top 10
IND.20.305.1157,0.44757315302382095,Top 10
