hierid,rawtotal,Category
DZA.1.16,-0.8046415246203507,Bottom 10
DZA.41.1258,-0.7996814582871777,Bottom 10
DZA.1.1,-0.7881539579425606,Bottom 10
DZA.41.1260,-0.7856941978486826,Bottom 10
DZA.41.1255,-0.7822357890853782,Bottom 10
DZA.41.1261,-0.781543421780227,Bottom 10
DZA.1.R0407246e18910365,-0.7717418761328382,Bottom 10
DZA.41.1256,-0.7696231624979336,Bottom 10
DZA.22.637,-0.7516362046592684,Bottom 10
DZA.41.1263,-0.746281801300308,Bottom 10
IND.20.271.1034,0.2944310922620055,Top 10
IND.12.126.403,0.2969955664829043,Top 10
IND.20.261.1003,0.2972898780926093,Top 10
IND.12.126.402,0.3004147317012077,Top 10
IND.20.305.1155,0.30043120801019185,Top 10
NPL.4.11.56,0.30062029875001106,Top 10
IND.20.267.1020,0.3020584486365886,Top 10
IND.20.271.1035,0.30279176446228645,Top 10
IND.20.305.1153,0.3035273860802039,Top 10
IND.20.305.1157,0.31273010967713,Top 10
