hierid,sign_match,diff_magnitude,Category
VAT,True,0.0,Best (Match + Low Diff)
MHL,True,0.0,Best (Match + Low Diff)
PCN,True,0.0,Best (Match + Low Diff)
TKL.R509f9c8f36fd8571,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
BMU.R676c07148ce9acd1,True,0.0,Best (Match + Low Diff)
MCO,True,0.0,Best (Match + Low Diff)
CXR,True,0.0,Best (Match + Low Diff)
MAF,True,0.0,Best (Match + Low Diff)
CCK,True,0.0,Best (Match + Low Diff)
SDN.6.15.73.224,True,1.147115135065989,Worst (Mismatch or High Diff)
SDN.6.15.73.226,True,1.1452712757447907,Worst (Mismatch or High Diff)
DZA.41.1258,True,1.1250179736629153,Worst (Mismatch or High Diff)
DZA.1.16,True,1.1187108468886164,Worst (Mismatch or High Diff)
DZA.1.5,True,1.1168647472302289,Worst (Mismatch or High Diff)
DZA.41.1261,True,1.104056306532247,Worst (Mismatch or High Diff)
DZA.1.1,True,1.0989709351284591,Worst (Mismatch or High Diff)
DZA.41.1260,True,1.0941451799924518,Worst (Mismatch or High Diff)
DZA.41.1256,True,1.0882662347728527,Worst (Mismatch or High Diff)
DZA.1.R0407246e18910365,True,1.0865457161929364,Worst (Mismatch or High Diff)
