hierid,sign_match,diff_magnitude,Category
GIB,True,0.0,Best (Match + Low Diff)
BMU.R676c07148ce9acd1,True,0.0,Best (Match + Low Diff)
BLM,True,0.0,Best (Match + Low Diff)
CCK,True,0.0,Best (Match + Low Diff)
TKL.R509f9c8f36fd8571,True,0.0,Best (Match + Low Diff)
VAT,True,0.0,Best (Match + Low Diff)
MCO,True,0.0,Best (Match + Low Diff)
CXR,True,0.0,Best (Match + Low Diff)
AIA,True,0.0,Best (Match + Low Diff)
MAF,True,0.0,Best (Match + Low Diff)
DZA.41.1258,True,0.9958508430287671,Worst (Mismatch or High Diff)
DZA.1.16,True,0.9902655057038536,Worst (Mismatch or High Diff)
DZA.1.5,True,0.9886308715117842,Worst (Mismatch or High Diff)
DZA.41.1261,True,0.9772992844387898,Worst (Mismatch or High Diff)
DZA.1.1,True,0.9730331766931579,Worst (Mismatch or High Diff)
DZA.41.1260,True,0.9685198602531466,Worst (Mismatch or High Diff)
DZA.41.1256,True,0.9633157339364824,Worst (Mismatch or High Diff)
DZA.1.R0407246e18910365,True,0.9618026115620715,Worst (Mismatch or High Diff)
DZA.41.1255,True,0.952652586425492,Worst (Mismatch or High Diff)
IRQ.14.71,True,0.9385244133981803,Worst (Mismatch or High Diff)
