hierid,flexraw,Category
SDN.6.15.73.224,-0.9801358234178608,Bottom 10
DZA.41.1258,-0.9781500698558003,Bottom 10
SDN.6.15.73.226,-0.9765799569109425,Bottom 10
DZA.1.16,-0.9684397885447371,Bottom 10
DZA.1.5,-0.9668646115407146,Bottom 10
DZA.41.1261,-0.951537919043818,Bottom 10
DZA.1.1,-0.9445339190374766,Bottom 10
DZA.41.1260,-0.9352209483544953,Bottom 10
DZA.41.1256,-0.9341556043005044,Bottom 10
DZA.1.R0407246e18910365,-0.927831379052799,Bottom 10
USA.2.79,0.5091372106795441,Top 10
CAN.2.34.921,0.518969346808594,Top 10
ITA.10.55,0.5390155986975343,Top 10
CAN.2.36.R9f505f59d9d74173,0.5433031973598452,Top 10
CAN.11.210,0.5472995476470908,Top 10
ITA.17.99,0.5957668399923011,Top 10
AUT.7.R72516bf037df9b20,0.6319954920423398,Top 10
AUT.7.88,0.6366759972644593,Top 10
ITA.19.103,0.6414540151660826,Top 10
CHE.R9aeb357984866f15,0.7008451793041556,Top 10
