hierid,flexraw,Category
SDN.6.15.73.224,-1.0275627596498547,Bottom 10
SDN.6.15.73.226,-1.0238348664589034,Bottom 10
DZA.41.1258,-1.0027263744127979,Bottom 10
DZA.1.16,-0.992772156752179,Bottom 10
DZA.1.5,-0.9911573531600717,Bottom 10
DZA.41.1261,-0.975445633046758,Bottom 10
DZA.1.1,-0.9682655036091262,Bottom 10
DZA.41.1260,-0.9587185869244079,Bottom 10
DZA.41.1256,-0.9576264935512491,Bottom 10
DZA.1.R0407246e18910365,-0.9511433703238157,Bottom 10
CAN.2.34.921,0.5183296272377368,Top 10
CHN.30.316.2176,0.5240954352596399,Top 10
CAN.2.36.R9f505f59d9d74173,0.542633556774256,Top 10
CAN.11.210,0.546625007622235,Top 10
ITA.10.55,0.5651547633955419,Top 10
ITA.17.99,0.6246580536822826,Top 10
AUT.7.R72516bf037df9b20,0.6329831011855619,Top 10
AUT.7.88,0.6376710270251804,Top 10
ITA.19.103,0.6725609566896332,Top 10
CHE.R9aeb357984866f15,0.7041299828175158,Top 10
