hierid,rawtotal,Category
SDN.6.15.73.224,-1.1665882934710035,Bottom 10
SDN.6.15.73.226,-1.1647179340997904,Bottom 10
DZA.41.1258,-1.1189447900914735,Bottom 10
DZA.1.16,-1.11271392860228,Bottom 10
DZA.1.5,-1.1108843109667559,Bottom 10
DZA.41.1261,-1.098034830943797,Bottom 10
DZA.1.1,-1.0888858415617673,Bottom 10
DZA.41.1260,-1.0882820120802124,Bottom 10
DZA.41.1256,-1.0824361103543518,Bottom 10
DZA.1.R0407246e18910365,-1.0805579935846337,Bottom 10
ECU.11.101.468,0.509951925587871,Top 10
CAN.2.36.R9f505f59d9d74173,0.5138205179592354,Top 10
ECU.18.168.Ra5339466911a2d7e,0.515567324261554,Top 10
ECU.18.171.Rab06cccfd9035a85,0.5222198512561778,Top 10
ECU.18.168.812,0.524524280453216,Top 10
AUT.7.88,0.5455399260977115,Top 10
AUT.7.R72516bf037df9b20,0.5579497471476276,Top 10
ITA.19.103,0.5643246927291597,Top 10
ITA.17.99,0.5758840589303501,Top 10
CHE.R9aeb357984866f15,0.5978620878399515,Top 10
