hierid,rawtotal,Category
SDN.6.15.73.224,-0.5378346568438165,Bottom 10
SDN.6.15.73.226,-0.535884550812407,Bottom 10
DZA.41.1258,-0.5154089051544817,Bottom 10
DZA.1.16,-0.5103020555714004,Bottom 10
DZA.1.5,-0.5094735482993725,Bottom 10
DZA.41.1261,-0.5013723283511906,Bottom 10
DZA.1.1,-0.4967460666796817,Bottom 10
DZA.41.1260,-0.4927984451672734,Bottom 10
DZA.41.1256,-0.49223745165058513,Bottom 10
DZA.1.R0407246e18910365,-0.48886711432759267,Bottom 10
CAN.2.34.921,0.24851147123502076,Top 10
CHN.30.316.2176,0.25792139736172154,Top 10
CAN.2.36.R9f505f59d9d74173,0.26032775852252776,Top 10
CAN.11.210,0.262038151747067,Top 10
ITA.10.55,0.26652373150501024,Top 10
ITA.17.99,0.29484401921386344,Top 10
AUT.7.88,0.30456522699494304,Top 10
AUT.7.R72516bf037df9b20,0.3048747317180142,Top 10
ITA.19.103,0.3171252057138413,Top 10
CHE.R9aeb357984866f15,0.33710458809152977,Top 10
