hierid,sign_match,diff_magnitude,Category
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
RUS.77.2137.2254,True,2.4593401645060504e-06,Best (Match + Low Diff)
COL.25.841,True,2.589134717801423e-05,Best (Match + Low Diff)
USA.33.1882,True,7.415334632620795e-05,Best (Match + Low Diff)
USA.27.1623,True,0.00010660308634958906,Best (Match + Low Diff)
BOL.4.43.140,True,0.00011690630129562333,Best (Match + Low Diff)
USA.13.565,True,0.0001303459289741485,Best (Match + Low Diff)
CAN.9.165.Re3347dba3cb97fa0,True,0.00016410682225942246,Best (Match + Low Diff)
KAZ.5.58,True,0.00016493771219146876,Best (Match + Low Diff)
TZA.8.36,True,0.48574479969799766,Worst (Mismatch or High Diff)
COL.15.607,True,0.4708022982398854,Worst (Mismatch or High Diff)
MWI.8,True,0.44955180631789193,Worst (Mismatch or High Diff)
AUS.6.449,True,0.4438118106564915,Worst (Mismatch or High Diff)
ETH.2.12,True,0.4388971215652441,Worst (Mismatch or High Diff)
AUS.6.550,True,0.43615013438196004,Worst (Mismatch or High Diff)
ETH.2.10.45,True,0.435293516058333,Worst (Mismatch or High Diff)
COG.10,True,0.4324001260014928,Worst (Mismatch or High Diff)
ETH.2.10.R2ea9fc73b058b649,True,0.43220341370291226,Worst (Mismatch or High Diff)
MWI.17,True,0.425217808177053,Worst (Mismatch or High Diff)
