hierid,sign_match,diff_magnitude,Category
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
CHN.5.36.228,True,3.267383550705539e-05,Best (Match + Low Diff)
ZAF.3.Ra88f13deafc00a10,True,6.185604058378522e-05,Best (Match + Low Diff)
CAN.9.124.2437,True,8.510714084059519e-05,Best (Match + Low Diff)
AUS.10.1048,True,0.00012268138970502392,Best (Match + Low Diff)
CAN.1.15.352,True,0.00016127187347321346,Best (Match + Low Diff)
COL.27.884,True,0.0001717317395299897,Best (Match + Low Diff)
CRI.2.21,True,0.00021872583150104664,Best (Match + Low Diff)
GRL.2.16,True,0.0002676753443575942,Best (Match + Low Diff)
AUS.6.449,True,0.9994871134151333,Worst (Mismatch or High Diff)
AUS.6.550,True,0.9865083181698111,Worst (Mismatch or High Diff)
AUS.6.847,True,0.9197221010207159,Worst (Mismatch or High Diff)
COL.15.607,True,0.9074047900476956,Worst (Mismatch or High Diff)
MYS.4.R64393745a5bbb9ad,True,0.9000944082542262,Worst (Mismatch or High Diff)
COG.10,True,0.8422863385709998,Worst (Mismatch or High Diff)
MYS.10.85,True,0.8298719806706574,Worst (Mismatch or High Diff)
TZA.8.36,True,0.8276176548049057,Worst (Mismatch or High Diff)
PER.24.190.R068f3fec8913c9ab,True,0.8182160684459174,Worst (Mismatch or High Diff)
IND.31.464.1870,True,0.8067746350803513,Worst (Mismatch or High Diff)
