hierid,flexraw,Category
TZA.8.36,-1.1401888535063172,Bottom 10
COL.15.607,-1.0423431309383107,Bottom 10
ETH.2.12,-1.0086316037795455,Bottom 10
ETH.2.10.45,-1.0001573978724314,Bottom 10
ETH.2.10.R2ea9fc73b058b649,-0.9931454459399545,Bottom 10
MWI.8,-0.9867272404316373,Bottom 10
ETH.9.46.404,-0.975133243981688,Bottom 10
ETH.2.8.31,-0.970929793766614,Bottom 10
ETH.2.10.47,-0.9554655867072559,Bottom 10
ETH.8.35.271,-0.9515765441900585,Bottom 10
JPN.32.1324,0.5986001404486456,Top 10
JPN.32.1326,0.607245444020035,Top 10
JPN.32.1322,0.6143546925076522,Top 10
JPN.32.1333,0.6144004128230343,Top 10
CHL.4.12.58,0.6334896826572487,Top 10
CHL.12.45.260,0.6693400704740402,Top 10
JPN.32.1325,0.6756951430653056,Top 10
CHL.2.5.12,0.7800438721413953,Top 10
CHL.4.11.52,0.8036523297783569,Top 10
CHL.4.10.50,0.8317142374114637,Top 10
