hierid,flexraw,Category
TZA.8.36,-1.0478372627925159,Bottom 10
COL.15.607,-0.9730350161282625,Bottom 10
MWI.8,-0.9483278236641232,Bottom 10
ETH.2.12,-0.9290424637737111,Bottom 10
ETH.2.10.45,-0.9212368677085464,Bottom 10
ETH.2.10.R2ea9fc73b058b649,-0.9147782088345949,Bottom 10
ETH.9.46.404,-0.8981873937933915,Bottom 10
MWI.17,-0.8976260443244582,Bottom 10
ETH.2.8.31,-0.8943156295838139,Bottom 10
ETH.2.10.47,-0.8800715499624981,Bottom 10
JPN.32.1324,0.5787152841787346,Top 10
JPN.32.1326,0.5870733791739186,Top 10
JPN.32.1322,0.5939464427944493,Top 10
JPN.32.1333,0.5939906644002344,Top 10
CHL.4.12.58,0.5949284602934233,Top 10
CHL.12.45.260,0.6285966308163388,Top 10
JPN.32.1325,0.6532492500967458,Top 10
CHL.2.5.12,0.7325617013244305,Top 10
CHL.4.11.52,0.7547331304466999,Top 10
CHL.4.10.50,0.7810867700740569,Top 10
