hierid,rawtotal,Category
TZA.8.36,-1.4333551037710526,Bottom 10
ETH.2.10.45,-1.3477281791897526,Bottom 10
ETH.2.12,-1.3459228754290267,Bottom 10
ETH.2.10.R2ea9fc73b058b649,-1.3359515274151876,Bottom 10
ETH.9.46.404,-1.325537607732341,Bottom 10
ETH.2.10.47,-1.2987900980248739,Bottom 10
MWI.8,-1.2980511473864182,Bottom 10
ETH.8.35.271,-1.2865261100916354,Bottom 10
ETH.2.8.31,-1.2831606701059555,Bottom 10
ETH.9.46.R95c40417351bb4d1,-1.2403151120352063,Bottom 10
CHL.6.18.113,0.5997268403330034,Top 10
CHL.6.18.112,0.601281942057036,Top 10
CHL.4.10.51,0.6184852564817922,Top 10
CHL.2.5.14,0.6219637891779192,Top 10
CHL.2.5.12,0.6228029809658355,Top 10
CHL.4.11.52,0.6249992652896501,Top 10
CHL.6.18.115,0.6395143744882928,Top 10
CHL.4.12.58,0.6402646882433052,Top 10
CHL.4.10.50,0.6492317042312141,Top 10
CHL.6.18.114,0.6506846238222668,Top 10
