hierid,rawtotal,Category
TZA.8.36,-0.6642817269019673,Bottom 10
ETH.2.12,-0.6037311201834442,Bottom 10
ETH.2.10.45,-0.5985748765813578,Bottom 10
ETH.2.10.R2ea9fc73b058b649,-0.594416568744301,Bottom 10
MWI.8,-0.5916364614168063,Bottom 10
ETH.9.46.404,-0.5836801895866979,Bottom 10
ETH.2.8.31,-0.5811641533079689,Bottom 10
ETH.2.10.47,-0.5718958298461131,Bottom 10
ETH.8.35.271,-0.5694411441212718,Bottom 10
MWI.17,-0.5603039174021164,Bottom 10
CHL.2.7.19,0.3026098785399832,Top 10
JPN.32.1326,0.30343148143204185,Top 10
JPN.32.1322,0.30674494329085367,Top 10
JPN.32.1333,0.30697262839428424,Top 10
CHL.4.12.58,0.3232587183284031,Top 10
JPN.32.1325,0.33763477400412845,Top 10
CHL.12.45.260,0.3415621440878957,Top 10
CHL.2.5.12,0.39790464894458055,Top 10
CHL.4.11.52,0.4100621811018411,Top 10
CHL.4.10.50,0.4244516156537707,Top 10
