hierid,sign_match,diff_magnitude,Category
MAF,True,0.0,Best (Match + Low Diff)
PCN,True,0.0,Best (Match + Low Diff)
MCO,True,0.0,Best (Match + Low Diff)
NRU.R48a30b843dc4b8e2,True,0.0,Best (Match + Low Diff)
AIA,True,0.0,Best (Match + Low Diff)
GIB,True,0.0,Best (Match + Low Diff)
CXR,True,0.0,Best (Match + Low Diff)
TKL.R509f9c8f36fd8571,True,0.0,Best (Match + Low Diff)
MHL,True,0.0,Best (Match + Low Diff)
BLM,True,0.0,Best (Match + Low Diff)
KWT.4,True,0.156878628286218,Worst (Mismatch or High Diff)
KWT.2,True,0.15663369514212944,Worst (Mismatch or High Diff)
KWT.5,True,0.15543669827607465,Worst (Mismatch or High Diff)
KWT.1,True,0.15479734206022933,Worst (Mismatch or High Diff)
KWT.3,True,0.15435631608456113,Worst (Mismatch or High Diff)
SAU.6,True,0.14691206104987709,Worst (Mismatch or High Diff)
USA.3.108,True,0.1461407133201873,Worst (Mismatch or High Diff)
USA.5.196,True,0.14389670455569759,Worst (Mismatch or High Diff)
SAU.7,True,0.14374702523977945,Worst (Mismatch or High Diff)
DZA.41.1258,True,0.14355297537734524,Worst (Mismatch or High Diff)
