hierid,sign_match,diff_magnitude,Category
BLM,True,0.0,Best (Match + Low Diff)
GIB,True,0.0,Best (Match + Low Diff)
MCO,True,0.0,Best (Match + Low Diff)
CCK,True,0.0,Best (Match + Low Diff)
BMU.R676c07148ce9acd1,True,0.0,Best (Match + Low Diff)
AIA,True,0.0,Best (Match + Low Diff)
NRU.R48a30b843dc4b8e2,True,0.0,Best (Match + Low Diff)
CXR,True,0.0,Best (Match + Low Diff)
VAT,True,0.0,Best (Match + Low Diff)
MHL,True,0.0,Best (Match + Low Diff)
QAT.1,True,0.27624799153283863,Worst (Mismatch or High Diff)
QAT.5,True,0.27360558440922667,Worst (Mismatch or High Diff)
QAT.Raded92090ad6c843,True,0.2735026298724179,Worst (Mismatch or High Diff)
QAT.R30a7711ec96544b9,True,0.2720866823374868,Worst (Mismatch or High Diff)
USA.5.216,True,0.26707237667816575,Worst (Mismatch or High Diff)
USA.5.196,True,0.263558544167001,Worst (Mismatch or High Diff)
USA.3.100,True,0.26350073076457825,Worst (Mismatch or High Diff)
USA.29.1752,True,0.262185756703297,Worst (Mismatch or High Diff)
USA.3.108,True,0.26136587038564585,Worst (Mismatch or High Diff)
USA.3.101,True,0.25937366381680604,Worst (Mismatch or High Diff)
