hierid,flexraw,Category
DZA.41.1258,-3.447045818743928,Bottom 10
DZA.1.16,-3.439686441070339,Bottom 10
DZA.1.5,-3.4178577202699203,Bottom 10
DZA.1.1,-3.4035209953885452,Bottom 10
DZA.41.1261,-3.3990215008988502,Bottom 10
DZA.1.R0407246e18910365,-3.3671610564152465,Bottom 10
KWT.3,-3.363852749168157,Bottom 10
DZA.41.1256,-3.362672801370561,Bottom 10
KWT.4,-3.3621117593416154,Bottom 10
KWT.2,-3.357412227983399,Bottom 10
VNM.2.20.R1e4f623973c063b9,1.3258919442888863,Top 10
MMR.11.41.196,1.3286992225601693,Top 10
KHM.17.112.1024.1027,1.3331140340785554,Top 10
KHM.17.110.1002.1005,1.3342145639223866,Top 10
KHM.17.111.1013.1016,1.3381650849117392,Top 10
MMR.8.27.135,1.3449716323135077,Top 10
MMR.11.42.198,1.348741455021553,Top 10
VNM.2.20.R6fe89b6a356f6765,1.3536550996553633,Top 10
VNM.3.31,1.354548264402194,Top 10
MMR.11.41.194,1.3626580288923593,Top 10
