hierid,flexraw,Category
DZA.41.1258,-3.452988839201789,Bottom 10
DZA.1.16,-3.4456165527369396,Bottom 10
DZA.1.5,-3.4237501979047886,Bottom 10
DZA.1.1,-3.4093883647461842,Bottom 10
DZA.41.1261,-3.4048813100915902,Bottom 10
DZA.1.R0407246e18910365,-3.3729659492667916,Bottom 10
KWT.3,-3.3724381424384413,Bottom 10
KWT.4,-3.370692766807231,Bottom 10
DZA.41.1256,-3.368470139097103,Bottom 10
KWT.2,-3.365981178443415,Bottom 10
VNM.5.49.507.Rec5d9fac25d56474,1.3210923769416818,Top 10
VNM.2.20.R1e4f623973c063b9,1.3265385385573507,Top 10
KHM.17.112.1024.1027,1.3282826893230146,Top 10
KHM.17.110.1002.1005,1.329379230731533,Top 10
KHM.17.111.1013.1016,1.3333154346194407,Top 10
MMR.8.27.135,1.333691213788621,Top 10
MMR.11.42.198,1.3374294725133662,Top 10
MMR.11.41.194,1.3512293022606394,Top 10
VNM.2.20.R6fe89b6a356f6765,1.3543152650066095,Top 10
VNM.3.31,1.3552087857320736,Top 10
