hierid,sign_match,diff_magnitude,Category
USA.48.2977,True,0.0,Best (Match + Low Diff)
USA.50.3064,True,0.0,Best (Match + Low Diff)
USA.50.3050,True,0.0,Best (Match + Low Diff)
USA.48.2981,True,0.0,Best (Match + Low Diff)
USA.50.3114,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
USA.50.3111,True,0.0,Best (Match + Low Diff)
USA.50.3060,True,0.0,Best (Match + Low Diff)
USA.50.3069,True,0.0,Best (Match + Low Diff)
USA.50.3067,True,0.0,Best (Match + Low Diff)
PER.21.162.Rabb9c8c56d8820ee,True,1.8409390976975728,Worst (Mismatch or High Diff)
PER.21.162.1595,True,1.8229541319947309,Worst (Mismatch or High Diff)
PER.21.172.1673,True,1.7020527988456196,Worst (Mismatch or High Diff)
IND.23.355.1500,True,1.601103779862902,Worst (Mismatch or High Diff)
IND.23.350.1495,True,1.585726387381678,Worst (Mismatch or High Diff)
PNG.19.86,True,1.5843334708534376,Worst (Mismatch or High Diff)
PER.21.172.1677,True,1.5805905761677241,Worst (Mismatch or High Diff)
IND.23.351.1496,True,1.5702621456655579,Worst (Mismatch or High Diff)
IDN.23.303,True,1.564582009459138,Worst (Mismatch or High Diff)
PER.8.79.770,True,1.5634235858989158,Worst (Mismatch or High Diff)
