hierid,sign_match,diff_magnitude,Category
USA.50.3067,True,0.0,Best (Match + Low Diff)
USA.48.2981,True,0.0,Best (Match + Low Diff)
USA.50.3064,True,0.0,Best (Match + Low Diff)
USA.50.3050,True,0.0,Best (Match + Low Diff)
USA.50.3055,True,0.0,Best (Match + Low Diff)
USA.50.3101,True,0.0,Best (Match + Low Diff)
USA.50.3069,True,0.0,Best (Match + Low Diff)
USA.51.3123,True,0.0,Best (Match + Low Diff)
USA.50.3114,True,0.0,Best (Match + Low Diff)
USA.50.3111,True,0.0,Best (Match + Low Diff)
PER.21.162.Rabb9c8c56d8820ee,True,1.7698099829769847,Worst (Mismatch or High Diff)
PER.21.162.1595,True,1.752515408358224,Worst (Mismatch or High Diff)
IND.23.355.1500,True,1.638436804422947,Worst (Mismatch or High Diff)
PER.21.172.1673,True,1.6362854945724874,Worst (Mismatch or High Diff)
IND.23.350.1495,True,1.6225538637103023,Worst (Mismatch or High Diff)
IND.23.351.1496,True,1.6067996191309968,Worst (Mismatch or High Diff)
IDN.23.303,True,1.594357040673204,Worst (Mismatch or High Diff)
PNG.19.86,True,1.56314169813824,Worst (Mismatch or High Diff)
PER.21.172.1677,True,1.519516253134399,Worst (Mismatch or High Diff)
PER.8.79.770,True,1.5030126973011941,Worst (Mismatch or High Diff)
