hierid,flexraw,Category
PNG.19.86,-1.3896205274721332,Bottom 10
MMR.10.35.167,-1.3606306433746966,Bottom 10
PER.21.162.Rabb9c8c56d8820ee,-1.360059779620338,Bottom 10
IND.23.350.1495,-1.3580452247542794,Bottom 10
IND.23.355.1500,-1.344861910076964,Bottom 10
PER.21.162.1595,-1.337588141139384,Bottom 10
MMR.10.35.166,-1.3301869990836788,Bottom 10
IDN.23.303,-1.3171774130198697,Bottom 10
IND.23.351.1496,-1.2965162315411538,Bottom 10
MMR.10.35.168,-1.292726347306637,Bottom 10
CHN.30.315.2171,0.8138280779418526,Top 10
RUS.65.1723.1840,0.8311403177249305,Top 10
RUS.65.1746.1863,0.838102110804118,Top 10
RUS.14.396.396,0.8473638470577638,Top 10
RUS.65.1741.1858,0.8502488730200591,Top 10
RUS.65.1738.1855,0.8537334459724071,Top 10
RUS.65.1747.1864,0.876712607565054,Top 10
RUS.14.397.397,0.8961543508012693,Top 10
RUS.65.1742.1859,0.9314145852620184,Top 10
CHN.30.315.2172,0.9520116623765212,Top 10
