hierid,flexraw,Category
PNG.19.86,-1.4131525567116472,Bottom 10
PER.21.162.Rabb9c8c56d8820ee,-1.399521831242959,Bottom 10
PER.21.162.1595,-1.3763981039628914,Bottom 10
MMR.10.35.167,-1.3606306433746966,Bottom 10
IND.23.350.1495,-1.3474584928988929,Bottom 10
IND.23.355.1500,-1.334377865129829,Bottom 10
MMR.10.35.166,-1.3301869990836788,Bottom 10
IDN.23.303,-1.297773791680571,Bottom 10
PER.21.172.1673,-1.2950857970653888,Bottom 10
MMR.10.35.168,-1.292726347306637,Bottom 10
RUS.65.1754.1871,0.8104775053085486,Top 10
RUS.65.1723.1840,0.8299568989365363,Top 10
RUS.65.1746.1863,0.8369087759590071,Top 10
RUS.14.396.396,0.8461573251981173,Top 10
RUS.65.1741.1858,0.8490383290482916,Top 10
RUS.65.1738.1855,0.8525179399083419,Top 10
RUS.65.1747.1864,0.8754642180852027,Top 10
RUS.14.397.397,0.8948783555128432,Top 10
RUS.65.1742.1859,0.9300883913779392,Top 10
CHN.30.315.2172,0.9432181930864286,Top 10
