hierid,rawtotal,Category
PER.21.162.Rabb9c8c56d8820ee,-2.1420383778875496,Bottom 10
PNG.19.86,-2.135854026182155,Bottom 10
PER.21.162.1595,-2.1065946566736757,Bottom 10
IND.23.350.1495,-2.053837732098713,Bottom 10
IDN.23.303,-2.031747321855538,Bottom 10
IND.23.355.1500,-2.031168361857725,Bottom 10
PER.21.172.1673,-1.982141890690509,Bottom 10
MMR.10.35.167,-1.9705957679362325,Bottom 10
IND.23.351.1496,-1.9595373798378322,Bottom 10
IND.21.325.1321,-1.9372263047354212,Bottom 10
RUS.65.1754.1871,1.2922226403411345,Top 10
RUS.65.1723.1840,1.323278634453837,Top 10
RUS.65.1746.1863,1.3343665993568954,Top 10
RUS.14.396.396,1.3491120933091862,Top 10
RUS.65.1741.1858,1.3536997728348537,Top 10
RUS.65.1738.1855,1.3592486693415928,Top 10
RUS.65.1747.1864,1.3958347188000102,Top 10
RUS.14.397.397,1.426796092302488,Top 10
RUS.65.1742.1859,1.4829273027909873,Top 10
CHN.30.315.2172,1.4976289848567164,Top 10
