hierid,sign_match,diff_magnitude,Category
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
NGA.3.R540e674a0d56dfa0,True,1.5343491651023328e-06,Best (Match + Low Diff)
SSD.3.8.R2e8d6611df79a48e,True,2.1534514936973926e-06,Best (Match + Low Diff)
NGA.31.R6a953c6961a86bfb,True,2.841802370786553e-05,Best (Match + Low Diff)
BFA.9,True,2.90359010799234e-05,Best (Match + Low Diff)
CHN.19.219.1469,True,2.9567418525126295e-05,Best (Match + Low Diff)
AUS.5.332,True,4.2833258833101777e-05,Best (Match + Low Diff)
MEX.7.Ra9956ab7dc198c91,True,4.511591494304494e-05,Best (Match + Low Diff)
CHN.29.298.2062,True,8.42332031699447e-05,Best (Match + Low Diff)
IND.23.355.1500,True,1.4647451020368178,Worst (Mismatch or High Diff)
IND.23.350.1495,True,1.4636030974737197,Worst (Mismatch or High Diff)
IND.23.351.1496,True,1.4455933970116215,Worst (Mismatch or High Diff)
GUM.Rbf31fb14df17d835,True,1.3333019029455442,Worst (Mismatch or High Diff)
BTN.14,True,1.3322092396150413,Worst (Mismatch or High Diff)
MMR.10.35.168,True,1.325372339021837,Worst (Mismatch or High Diff)
MMR.10.33.160,True,1.3246898003732928,Worst (Mismatch or High Diff)
MMR.10.35.166,True,1.323515602277189,Worst (Mismatch or High Diff)
MMR.10.35.167,True,1.3202677104827858,Worst (Mismatch or High Diff)
BTN.15,True,1.3198051045457855,Worst (Mismatch or High Diff)
