hierid,sign_match,diff_magnitude,Category
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
PER.13.119.R8290cb42f4290edd,True,3.5280194235075673e-06,Best (Match + Low Diff)
IND.31.477.1928,True,5.596519906051338e-06,Best (Match + Low Diff)
IND.31.470.1898,True,6.497861403478672e-06,Best (Match + Low Diff)
YEM.14.Re4683835eba0448a,True,9.959258240150788e-06,Best (Match + Low Diff)
USA.5.189,True,1.5840292847030795e-05,Best (Match + Low Diff)
CHN.26.269.1838,True,1.738865408389177e-05,Best (Match + Low Diff)
USA.5.227,True,2.1089973340170955e-05,Best (Match + Low Diff)
IDN.24.315,True,2.8313542804206122e-05,Best (Match + Low Diff)
IND.23.350.1495,True,0.6646582372134473,Worst (Mismatch or High Diff)
MMR.10.35.167,True,0.6605588875243462,Worst (Mismatch or High Diff)
MMR.10.35.166,True,0.6530651502991003,Worst (Mismatch or High Diff)
IND.23.355.1500,True,0.6500158650094221,Worst (Mismatch or High Diff)
MMR.10.35.168,True,0.6320029235374336,Worst (Mismatch or High Diff)
MMR.10.35.169,True,0.6304760685692468,Worst (Mismatch or High Diff)
IND.23.351.1496,True,0.6300404970561628,Worst (Mismatch or High Diff)
MMR.10.35.165,True,0.6283168641995391,Worst (Mismatch or High Diff)
MMR.10.32.158,True,0.6146329039184864,Worst (Mismatch or High Diff)
IND.21.325.1321,True,0.5994654228990497,Worst (Mismatch or High Diff)
