hierid,flexraw,Category
MMR.10.35.168,-3.6101806434983663,Bottom 10
MMR.10.33.160,-3.609883355131593,Bottom 10
MMR.10.35.166,-3.6066978040903277,Bottom 10
MMR.10.35.167,-3.598239062627801,Bottom 10
MMR.10.32.158,-3.5737214663331796,Bottom 10
MMR.10.35.169,-3.5560351292461663,Bottom 10
MMR.10.35.165,-3.5422345419470127,Bottom 10
MMR.10.33.163,-3.5206329078373577,Bottom 10
MMR.10.33.161,-3.5141727189642697,Bottom 10
IND.23.355.1500,-3.4965377698611557,Bottom 10
RUS.14.394.394,1.2114883499382458,Top 10
RUS.65.1754.1871,1.21933492243127,Top 10
RUS.45.1106.1106,1.2677010349457547,Top 10
RUS.14.396.396,1.2779623442337849,Top 10
RUS.65.1723.1840,1.289701911073428,Top 10
RUS.65.1746.1863,1.2911768262177594,Top 10
RUS.65.1738.1855,1.3317040711336454,Top 10
RUS.14.397.397,1.3679310464929915,Top 10
RUS.65.1747.1864,1.3725448679110628,Top 10
RUS.65.1742.1859,1.4363140348169632,Top 10
