hierid,rawtotal,Category
IND.23.355.1500,-4.984451941465606,Bottom 10
IND.23.350.1495,-4.96703642295683,Bottom 10
MMR.10.35.168,-4.935552982520203,Bottom 10
MMR.10.33.160,-4.934573155504886,Bottom 10
MMR.10.35.166,-4.930213406367517,Bottom 10
MMR.10.35.167,-4.918506773110587,Bottom 10
IND.23.351.1496,-4.912230465152889,Bottom 10
MMR.10.32.158,-4.884888097120814,Bottom 10
MMR.10.35.169,-4.861367108593994,Bottom 10
MMR.10.35.165,-4.842104931352963,Bottom 10
RUS.14.394.394,1.795912850723806,Top 10
RUS.65.1754.1871,1.807543508136902,Top 10
RUS.45.1106.1106,1.8792617474509086,Top 10
RUS.14.396.396,1.8944550425237972,Top 10
RUS.65.1723.1840,1.9118532490114912,Top 10
RUS.65.1746.1863,1.9140445667403996,Top 10
RUS.65.1738.1855,1.9741156530895931,Top 10
RUS.14.397.397,2.0278286673355645,Top 10
RUS.65.1747.1864,2.0346590533970743,Top 10
RUS.65.1742.1859,2.12919039864202,Top 10
