hierid,rawtotal,Category
MMR.10.35.167,-2.4608367958486497,Bottom 10
MMR.10.35.166,-2.43272580519358,Bottom 10
MMR.10.35.168,-2.353515176368318,Bottom 10
MMR.10.35.169,-2.348043004377719,Bottom 10
MMR.10.35.165,-2.3405227254874275,Bottom 10
MMR.10.32.158,-2.2898790176246533,Bottom 10
IND.23.350.1495,-2.220663450360736,Bottom 10
MMR.10.33.160,-2.2120555242965736,Bottom 10
MMR.10.33.162,-2.2102267878047512,Bottom 10
MMR.10.33.161,-2.19655476291096,Bottom 10
RUS.45.1105.1105,1.0085417357341098,Top 10
RUS.45.1106.1106,1.0148054267019118,Top 10
RUS.65.1754.1871,1.0465507012069628,Top 10
RUS.65.1723.1840,1.0552860715253103,Top 10
RUS.65.1746.1863,1.0752907979123707,Top 10
RUS.14.396.396,1.0969437104122663,Top 10
RUS.65.1738.1855,1.110031391857058,Top 10
RUS.14.397.397,1.18474691398632,Top 10
RUS.65.1747.1864,1.1980735930270994,Top 10
RUS.65.1742.1859,1.2693400638969266,Top 10
