hierid,sign_match,diff_magnitude,Category
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
IDN.11.130,True,2.815934651040705e-06,Best (Match + Low Diff)
SEN.11.29,True,4.655371081844359e-06,Best (Match + Low Diff)
IND.7.117.362,True,6.152158840762e-06,Best (Match + Low Diff)
BGD.2.4.9.61,True,1.0483695061613179e-05,Best (Match + Low Diff)
IND.12.133.477,True,1.1768768443688117e-05,Best (Match + Low Diff)
CHN.26.267.1804,True,1.2762525076516884e-05,Best (Match + Low Diff)
NGA.13.R5c7af6dc3893601d,True,1.4271625525104993e-05,Best (Match + Low Diff)
IND.5.64.253,True,1.842412973028329e-05,Best (Match + Low Diff)
CAN.2.42.1079,True,0.2947330566754732,Worst (Mismatch or High Diff)
AUS.4.235,True,0.29381694464166663,Worst (Mismatch or High Diff)
CAN.2.33.883,True,0.290253757439319,Worst (Mismatch or High Diff)
CAN.2.22.R6f834804abaa746c,True,0.2894895648349556,Worst (Mismatch or High Diff)
AUS.4.298,True,0.28589377747921374,Worst (Mismatch or High Diff)
MUS.6,True,0.2855924216467147,Worst (Mismatch or High Diff)
COL.14.543,True,0.2791015680027946,Worst (Mismatch or High Diff)
AUS.4.261,True,0.26935864297194334,Worst (Mismatch or High Diff)
JPN.32.1325,True,0.2688846152818326,Worst (Mismatch or High Diff)
COL.25.841,True,0.2673294424227438,Worst (Mismatch or High Diff)
