hierid,sign_match,diff_magnitude,Category
FJI.R13886963f95ae1bc,True,0.0,Best (Match + Low Diff)
TUV.R06fb643237e8113e,True,0.0,Best (Match + Low Diff)
IDN.11.130,True,2.8992780039301034e-06,Best (Match + Low Diff)
SEN.11.29,True,3.987907925975851e-06,Best (Match + Low Diff)
IND.7.117.362,True,6.254547226890183e-06,Best (Match + Low Diff)
BGD.2.4.9.61,True,9.052671520475437e-06,Best (Match + Low Diff)
IND.12.133.477,True,1.1962488658925361e-05,Best (Match + Low Diff)
CHN.26.267.1804,True,1.2988547228839769e-05,Best (Match + Low Diff)
NGA.13.R5c7af6dc3893601d,True,1.3061684348169315e-05,Best (Match + Low Diff)
IND.5.64.253,True,1.873030009871341e-05,Best (Match + Low Diff)
AUS.4.235,True,0.29448410341916287,Worst (Mismatch or High Diff)
CAN.2.42.1079,True,0.2874384608887329,Worst (Mismatch or High Diff)
AUS.4.298,True,0.2865292022989254,Worst (Mismatch or High Diff)
CAN.2.33.883,True,0.2830990441532534,Worst (Mismatch or High Diff)
CAN.2.22.R6f834804abaa746c,True,0.28233226935043454,Worst (Mismatch or High Diff)
MUS.6,True,0.2711288396078708,Worst (Mismatch or High Diff)
COL.14.543,True,0.2706218161622217,Worst (Mismatch or High Diff)
JPN.32.1325,True,0.27050996876171784,Worst (Mismatch or High Diff)
AUS.4.261,True,0.26997025662256013,Worst (Mismatch or High Diff)
AUS.4.224,True,0.2640162287680856,Worst (Mismatch or High Diff)
