hierid,flexraw,Category
MUS.6,-0.884123029227978,Bottom 10
COL.14.543,-0.8812924570187339,Bottom 10
COL.22.788,-0.865238775629437,Bottom 10
AUS.4.235,-0.8545432601752209,Bottom 10
COL.25.850,-0.8538737954428315,Bottom 10
COL.7.331,-0.8494936731021026,Bottom 10
COL.17.R5c3c74ad40e43d6b,-0.8407171526549507,Bottom 10
CAN.2.42.1079,-0.8328572058834499,Bottom 10
COL.17.631,-0.831278506595062,Bottom 10
COL.25.841,-0.8302098419264589,Bottom 10
RUS.14.396.396,0.6704531250242991,Top 10
RUS.65.1747.1864,0.6743616543242482,Top 10
RUS.65.1738.1855,0.6752999411363791,Top 10
RUS.14.397.397,0.6763005023243885,Top 10
CHN.30.315.2172,0.6764325361176792,Top 10
RUS.65.1728.1845,0.6805950441284566,Top 10
RUS.65.1742.1859,0.6923969563233223,Top 10
RUS.65.1725.1842,0.6994548483189551,Top 10
RUS.65.1753.1870,0.7070924488403852,Top 10
RUS.65.1741.1858,0.7449984705985097,Top 10
