hierid,flexraw,Category
COL.21.R2796fe48858330ff,-1.8340777156201489,Bottom 10
COL.17.631,-1.8327049239943407,Bottom 10
ECU.11.103.485,-1.827218161765088,Bottom 10
CAN.2.42.1079,-1.804887556186319,Bottom 10
CAN.2.33.883,-1.792132174474465,Bottom 10
COL.29.Rc035363b497bab63,-1.7826145568273952,Bottom 10
CAN.2.22.R6f834804abaa746c,-1.7780227205574843,Bottom 10
MUS.6,-1.7780159229454369,Bottom 10
COL.14.543,-1.7772156153927618,Bottom 10
COL.10.R2aa1e93b695593d5,-1.7742756083945344,Bottom 10
RUS.65.1733.1850,0.8424502140010856,Top 10
RUS.65.1746.1863,0.8524848305000758,Top 10
RUS.65.1730.1847,0.8560334353764143,Top 10
RUS.65.1723.1840,0.8565512682435363,Top 10
GRL.1.1,0.8567630828272575,Top 10
RUS.65.1753.1870,0.8568964189143872,Top 10
RUS.65.1738.1855,0.8573931007804358,Top 10
RUS.65.1750.1867,0.8590110917957141,Top 10
RUS.65.1756.1873,0.8601666199141393,Top 10
GRL.3.19,0.869744402700996,Top 10
