hierid,rawtotal,Category
MUS.6,-1.1697154508746928,Bottom 10
COL.14.543,-1.1603940250215286,Bottom 10
AUS.4.235,-1.1483602048168875,Bottom 10
COL.22.788,-1.132418193732573,Bottom 10
CAN.2.42.1079,-1.1275902625589231,Bottom 10
COL.25.850,-1.1204179819735312,Bottom 10
COL.7.331,-1.1124326440590817,Bottom 10
CAN.2.33.883,-1.1071404742519186,Bottom 10
CAN.2.22.R6f834804abaa746c,-1.1066724327877446,Bottom 10
COL.17.R5c3c74ad40e43d6b,-1.100403791175021,Bottom 10
RUS.14.396.396,0.8917604921349105,Top 10
CHN.30.315.2172,0.8931102633896918,Top 10
RUS.65.1747.1864,0.8969575377343302,Top 10
RUS.65.1738.1855,0.8982053242321115,Top 10
RUS.14.397.397,0.8995392207137455,Top 10
RUS.65.1728.1845,0.9052484687721034,Top 10
RUS.65.1742.1859,0.9209460744579717,Top 10
RUS.65.1725.1842,0.9303333682553533,Top 10
RUS.65.1753.1870,0.940492760472594,Top 10
RUS.65.1741.1858,0.9909097184386934,Top 10
