hierid,rawtotal,Category
CAN.2.42.1079,-2.422387989079611,Bottom 10
CAN.2.33.883,-2.407818336672967,Bottom 10
CAN.2.22.R6f834804abaa746c,-2.386986364350395,Bottom 10
COL.21.R2796fe48858330ff,-2.381582906542723,Bottom 10
COL.17.631,-2.375444444264607,Bottom 10
ECU.11.103.485,-2.353782765050256,Bottom 10
AUS.4.235,-2.321215379104365,Bottom 10
COL.14.543,-2.3177509487743637,Bottom 10
MUS.6,-2.314493306369715,Bottom 10
COL.29.Rc035363b497bab63,-2.311000165411522,Bottom 10
RUS.65.1725.1842,1.1190552179121986,Top 10
RUS.65.1733.1850,1.121511363999505,Top 10
GRL.3.19,1.1313598152180204,Top 10
RUS.65.1746.1863,1.134869941456024,Top 10
RUS.65.1730.1847,1.1395920303095555,Top 10
RUS.65.1723.1840,1.14028130333376,Top 10
RUS.65.1753.1870,1.1407411461921402,Top 10
RUS.65.1738.1855,1.1414014469592113,Top 10
RUS.65.1750.1867,1.1435565712264328,Top 10
RUS.65.1756.1873,1.1450947745564628,Top 10
